中国银行保险监督管理委员会关于筹建中车金融租赁有限公司的批复,http://www.cbrc.gov.cn/govView_BBB1D3FE86CC4AD4B3E4AB612081BBD7.html
厦门首家金融租赁公司获批筹建,http://www.cbrc.gov.cn/chinese/home/docView/47CCE27887C94F36BA868E65AB23F86C.html
中国银监会关于筹建天津国泰金融租赁有限责任公司的批复,http://www.cbrc.gov.cn/govView_DC2E0EC707C1417EB28FB7D356BE1C0F.html
中国银监会关于筹建吉林九银金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_2F1360081F68443A98BFB5483A24F80D.html
中国银监会关于筹建重庆鈊渝金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_E1F6EDE502D7496A85157EE2FAEF065A.html
中国银监会关于筹建广东粤财金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_141DE32F7F3F4E6D9332833B769033D3.html
中国银监会关于筹建航天科工金融租赁有限公司的批复,http://www.cbrc.gov.cn/govView_4685B7F553194370AF21DAF122244964.html
中国银监会关于筹建中煤科工金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_96CA43885C1B4C4DBD91F08F2CBEDE99.html
中国银监会关于筹建浙江浙银金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_D52F2466A2224785B92D656BD157F8F6.html
中国银监会关于筹建前海兴邦金融租赁有限责任公司的批复,http://www.cbrc.gov.cn/govView_040155835AE64CD083562EC0A1DF2702.html
中国银监会关于筹建甘肃兰银金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_22722A41B6A44066BB02019B452AA1FF.html
中国银监会关于筹建青岛青银金融租赁有限公司的批复,http://www.cbrc.gov.cn/govView_A18F207EA79B4624AF2968670D817A4A.html
中国银监会关于筹建四川天府金融租赁有限公司的批复,http://www.cbrc.gov.cn/govView_B5DAC95CD5FD41E59F8FA5A193ED3F89.html
中国银监会关于筹建中铁建金融租赁有限公司的批复,http://www.cbrc.gov.cn/govView_A6191B1050E84DC5B7E42C6F9D5029F5.html
中国银监会关于筹建佛山海晟金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_498323BF70D6439F9A62620C795D6DED.html
中国银监会关于筹建徐州恒鑫金融租赁股份有限公司的批复,http://www.cbrc.gov.cn/govView_E6DA052F0CF3444EA78BE0347267DB93.html
